tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,winner_rank,winner_rank_points,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,loser_rank,loser_rank_points,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced
2001-409,Atlanta,Clay,32,A,20010423,15,104053,0,WC,Andy Roddick,R,188,USA,18.64750171,89,458,103171,0,,Raemon Sluiter,R,185,NED,23.02806297,101,408,6-2 4-6 6-4,3,R32,83,5,3,76,48,39,15,14,4,6,6,4,84,48,35,19,14,6,10
2001-409,Atlanta,Clay,32,A,20010423,24,104053,0,WC,Andy Roddick,R,188,USA,18.64750171,89,458,101774,2,,Todd Martin,R,198,USA,30.7926078,31,950,7-5 6-2,3,R16,72,7,2,53,28,27,15,10,1,1,5,4,62,32,26,11,10,5,8
2001-409,Atlanta,Clay,32,A,20010423,28,104053,0,WC,Andy Roddick,R,188,USA,18.64750171,89,458,101897,0,,Fernando Meligeni,L,180,BRA,30.03148528,100,409,6-4 6-4,3,QF,68,5,0,48,32,26,14,10,0,0,7,2,68,42,31,12,10,7,9
2001-409,Atlanta,Clay,32,A,20010423,30,104053,0,WC,Andy Roddick,R,188,USA,18.64750171,89,458,102905,0,,Stefan Koubek,L,175,AUT,24.30390144,92,438,6-2 6-2,3,SF,60,5,2,48,32,25,9,8,1,1,2,4,63,35,20,11,8,7,11
2001-409,Atlanta,Clay,32,A,20010423,31,104053,0,WC,Andy Roddick,R,188,USA,18.64750171,89,458,103598,0,,Xavier Malisse,R,185,BEL,20.76112252,78,503,6-2 6-4,3,F,69,7,2,60,37,28,13,9,1,1,5,2,51,31,20,10,9,3,6
2001-520,Roland Garros,Clay,128,G,20010528,29,104053,0,,Andy Roddick,R,188,USA,18.74332649,48,808,102401,0,WC,Scott Draper,L,178,AUS,26.97878166,265,126,6-2 6-4 6-4,5,R128,79,6,3,71,43,33,23,14,0,0,13,7,93,50,36,16,14,11,15
2001-520,Roland Garros,Clay,128,G,20010528,79,104053,0,,Andy Roddick,R,188,USA,18.74332649,48,808,102021,0,,Michael Chang,R,175,USA,29.26214921,35,960,5-7 6-3 6-4 6-7(5) 7-5,5,R64,230,37,7,188,113,84,40,27,14,17,16,0,163,99,73,33,28,12,17
2001-520,Roland Garros,Clay,128,G,20010528,104,103720,6,,Lleyton Hewitt,R,180,AUS,20.25462012,6,2615,104053,0,,Andy Roddick,R,188,USA,18.74332649,48,808,6-7(6) 6-4 2-2 RET,5,R32,138,15,3,101,61,41,23,13,5,6,0,5,92,52,40,17,13,14,16
2001-717,Houston,Clay,32,A,20010430,3,104053,0,WC,Andy Roddick,R,188,USA,18.66666667,69,633,103171,0,,Raemon Sluiter,R,185,NED,23.04722793,102,404,6-3 6-4,3,R32,69,8,3,57,27,25,15,10,0,1,7,6,62,25,20,17,9,4,7
2001-717,Houston,Clay,32,A,20010430,18,104053,0,WC,Andy Roddick,R,188,USA,18.66666667,69,633,101320,5,,Magnus Gustafsson,R,185,SWE,34.32169747,65,642,6-2 6-4,3,R16,63,4,2,48,27,23,13,9,1,2,3,3,56,33,19,10,9,2,6
2001-717,Houston,Clay,32,A,20010430,25,104053,0,WC,Andy Roddick,R,188,USA,18.66666667,69,633,102905,0,,Stefan Koubek,L,175,AUT,24.32306639,82,508,6-3 6-1,3,QF,49,6,0,42,31,24,9,8,0,0,4,2,46,24,12,11,8,4,8
2001-717,Houston,Clay,32,A,20010430,29,104053,0,WC,Andy Roddick,R,188,USA,18.66666667,69,633,102259,3,,Jerome Golmard,L,188,FRA,27.6386037,53,738,7-6(3) 7-6(2),3,SF,120,11,4,79,46,38,20,12,1,2,11,1,75,53,40,13,12,5,6
2001-717,Houston,Clay,32,A,20010430,31,104053,0,WC,Andy Roddick,R,188,USA,18.66666667,69,633,102703,8,,Hyung Taik Lee,R,180,KOR,25.32238193,81,527,7-5 6-3,3,F,67,7,2,49,30,26,15,10,0,0,5,2,67,36,23,17,11,4,7
2002-717,Houston,Clay,32,A,20020422,5,104053,3,,Andy Roddick,R,188,USA,19.6440794,13,1845,103188,0,,Michael Russell,R,173,USA,23.97535934,97,395,6-1 6-2,3,R32,50,10,2,44,28,25,8,8,3,3,3,1,44,33,18,4,7,1,5
2002-717,Houston,Clay,32,A,20020422,19,104053,3,,Andy Roddick,R,188,USA,19.6440794,13,1845,102231,0,,Alex Calatrava,R,190,ESP,28.85420945,112,353,6-2 6-1,3,R16,48,4,4,35,22,19,7,7,0,1,5,2,46,24,10,7,8,3,9
2002-717,Houston,Clay,32,A,20020422,26,104053,3,,Andy Roddick,R,188,USA,19.6440794,13,1845,103484,5,,James Blake,R,185,USA,22.31622177,42,852,6-2 6-4,3,QF,71,10,3,57,37,27,12,9,5,6,5,1,69,40,29,8,9,7,11
2002-717,Houston,Clay,32,A,20020422,29,104053,3,,Andy Roddick,R,188,USA,19.6440794,13,1845,103909,0,,Guillermo Coria,R,175,ARG,20.27104723,198,185,6-3 2-6 6-2,3,SF,105,12,8,102,57,39,21,13,8,11,5,1,72,53,32,10,12,5,9
2002-717,Houston,Clay,32,A,20020422,31,104053,3,,Andy Roddick,R,188,USA,19.6440794,13,1845,101948,4,,Pete Sampras,R,185,USA,30.69404517,14,1825,7-6(9) 6-3,3,F,87,13,1,63,34,31,21,11,1,1,12,2,70,48,37,11,10,1,2
2002-414,Hamburg Masters,Clay,64,M,20020513,21,104053,13,,Andy Roddick,R,188,USA,19.70157426,13,1895,101774,0,,Todd Martin,R,198,USA,31.84668036,41,835,7-6(4) 6-2,3,R64,81,6,2,62,32,29,16,10,3,4,5,5,67,41,28,12,10,3,6
2002-414,Hamburg Masters,Clay,64,M,20020513,43,104053,13,,Andy Roddick,R,188,USA,19.70157426,13,1895,102783,0,,Rainer Schuettler,R,180,GER,26.04791239,28,1175,6-4 6-4,3,R32,79,2,3,63,31,24,16,10,4,6,5,1,65,41,26,10,10,4,8
2002-414,Hamburg Masters,Clay,64,M,20020513,54,102369,0,Q,Julien Boutter,R,190,FRA,28.10403833,60,665,104053,13,,Andy Roddick,R,188,USA,19.70157426,13,1895,6-3 7-5,3,R16,79,9,6,63,33,27,18,11,0,0,5,1,63,34,27,14,10,5,7
2002-416,Rome Masters,Clay,64,M,20020506,12,104053,13,,Andy Roddick,R,188,USA,19.68240931,14,1745,102231,0,Q,Alex Calatrava,R,190,ESP,28.89253936,113,343,6-2 6-3,3,R64,38,7,3,51,29,26,13,9,3,3,2,2,56,33,20,10,8,3,6
2002-416,Rome Masters,Clay,64,M,20020506,38,104053,13,,Andy Roddick,R,188,USA,19.68240931,14,1745,102318,0,,Andrei Pavel,R,183,ROU,28.27104723,29,1165,1-6 6-4 6-3,3,R32,99,8,1,82,45,31,23,13,3,6,6,0,69,53,35,11,13,1,4
2002-416,Rome Masters,Clay,64,M,20020506,51,104053,13,,Andy Roddick,R,188,USA,19.68240931,14,1745,101965,0,,Wayne Ferreira,R,185,RSA,30.63928816,44,820,3-6 6-4 6-2,3,R16,107,11,3,86,53,41,14,13,4,6,8,3,94,49,36,19,14,2,6
2002-416,Rome Masters,Clay,64,M,20020506,58,104053,13,,Andy Roddick,R,188,USA,19.68240931,14,1745,103990,0,,Tommy Robredo,R,180,ESP,20.01368925,39,885,6-4 7-6(2),3,QF,87,4,1,68,41,30,16,11,4,6,1,3,77,49,34,8,11,4,7
2002-416,Rome Masters,Clay,64,M,20020506,61,103163,7,,Tommy Haas,R,188,GER,24.09034908,7,2525,104053,13,,Andy Roddick,R,188,USA,19.68240931,14,1745,6-1 7-5,3,SF,75,10,2,57,33,27,16,10,2,2,4,2,65,42,27,10,9,6,9
